startDate	startTime	duration	livestream	physical	title	username	themes	medium	desc
Thu 17 Sep 2020	17:30	20	false	yes		ccami002			
Thu 17 Sep 2020	18:00	10	false	yes		hcorr001			
Thu 17 Sep 2020	18:20	10	false	yes		rasto001			
Thu 17 Sep 2020	19:00	10	false	yes		mspag003			
Thu 17 Sep 2020	19:20	10	false	yes		sxu003			
Thu 17 Sep 2020	19:40	10	false	yes		wfinc001			
Thu 17 Sep 2020	20:00	6	false	yes		yzhan037			
Thu 17 Sep 2020	20:20	10	false	yes		rbiro001			
Thu 17 Sep 2020	20:40	10	false	yes		cchan007			
Thu 17 Sep 2020	21:00	15	false	yes		cdeba001			
Fri 18 Sep 2020	15:00	50	false	yes		ccami002			
Fri 18 Sep 2020	16:00	50	false	yes		hcorr001			
Fri 18 Sep 2020	17:00	50	false	yes		rasto001			
Fri 18 Sep 2020	18:05	15	false	yes		cdeba001			
Fri 18 Sep 2020	18:30	10	false	yes		sxu003			
Fri 18 Sep 2020	18:50	10	false	yes		rbiro001			
Fri 18 Sep 2020	19:10	12	false	yes		cchan007			
Fri 18 Sep 2020	19:30	10	false	yes		wfinc001			
Fri 18 Sep 2020	19:50	10	false	yes		yzhan037			
Fri 18 Sep 2020	20:10	15	false	yes		mspag003			
Sat 19 Sep 2020	11:30	20	false	yes		hcorr001			
Sat 19 Sep 2020	11:50	20	false	yes		rasto001			
Sat 19 Sep 2020	12:10	20	false	yes		ccami002			
Sat 19 Sep 2020	12:55		false	yes		cdeba001			
Sat 19 Sep 2020	13:20		false	yes		sxu003			
Sat 19 Sep 2020	13:40		false	yes		rbiro001			
Sat 19 Sep 2020	14:00		false	yes		cchan007			
Sat 19 Sep 2020	14:20	6	false	yes		wfinc001			
Sat 19 Sep 2020	14:40		false	yes		yzhan037			
Sat 19 Sep 2020	15:00		false	yes		mspag003			
Sat 19 Sep 2020	15:30		false	yes		ccami002			
Sat 19 Sep 2020	16:30		false	yes		hcorr001			
Sat 19 Sep 2020	17:30		false	yes		rasto001			
Sat 19 Sep 2020	18:45		false	yes		mspag003			
Sat 19 Sep 2020	19:10		false	yes		sxu003			
Sat 19 Sep 2020	19:30		false	yes		rbiro001			
Sat 19 Sep 2020	19:50		false	yes		cchan007			
Sat 19 Sep 2020	20:10		false	yes		wfinc001			
Sat 19 Sep 2020	20:30		false	yes		yzhan037	yzhan037		
Sat 19 Sep 2020	20:50		false	yes		cdeba001			
Sun 20 Sep 2020	11:05		false	yes		cdeba001			
Sun 20 Sep 2020	11:30		false	yes		sxu003			
Sun 20 Sep 2020	11:50		false	yes		rbiro001			
Sun 20 Sep 2020	12:10		false	yes		cchan007			
Sun 20 Sep 2020	12:30		false	yes		yzhan037			
Sun 20 Sep 2020	12:50		false	yes		wfinc001			
Sun 20 Sep 2020	13:10		false	yes		mspag003			
Sun 20 Sep 2020	13:45		false	yes		ccami002			
Sun 20 Sep 2020	14:45		false	yes		hcorr001			
Sun 20 Sep 2020	15:45		false	yes		rasto001			
Thurs 17 Sep	18:15	45	true		How to fight for rights during a pandemic	ktind001, jgoul002,jlawt001	Distance Orchestra	Discussion Panel	
