"artist","title","slug","form","desc","imgur","url","website","instagram","twitter","facebook"
"Julian Burgess","Sonicode","sonicode","Video of the work + Q&A","Sonicode is a performance piece producing audio-visual work derived from barcodes. The barcode is input using a wireless scanner and informs a rhythmic pattern made of audio samples that I have collected from items around my flat.","y0dguIs","","https://aubergene.com","aubergene","aubergene",""
"Romain Biros","Murmur, Swoosh, Retch","murmur-swoosh-retch","Video of the work + Q&A","Romain Biros and Hannah Corrie in collaboration with Mass Hysteria created a performance for Deptford Moving Image festival. The visual effects consist of revisiting the cinematographic processes of slit-scanning and image repetition using advanced software and hardware programming.","6o7F6zU","https://www.youtube.com/watch?v=IU3OLalSrRg","","picofrom","",""
"Lou Terry","Interactive Instrument","interactive-instrument","Video of the work + Q&A","This is a sonic installation that responds to sounds in a room, and can be played and performed with as a semi-controllable, semi-uncontrollable instrument.","QCddIha","http://doc.gold.ac.uk/compartsblog/index.php/work/interactive-instrument/","","","",""
"Oliver Schilke","Reciprocal","reciprocal","Video of the work + Q&A","Reciprocal is a live performance experience using a cello and live electronics to create a singular augmented instrument in sensory immersion. The bow for a cellist is an extension of their arm. The movement of this relation is used as a controller for the audio synthesis.","CbwSQQM","","","____scho","",""
"Yewen Jin","The Sound of Poetry","the-sound-of-poetry","Video of the work + Q&A","This is a poetry reading with ambient sound background that's triggerred by the way that the verses are read. The process of this project is half about collaging sound and half about analyzing the sound of poetry.","ee1gpeM","","https://yewenjin.com","elsaurum","",""
"Julian Burgess","JESTLED","jestled","Talk / Demo + Q&A","JESTLED is experiment in bridging the real world to virtual reality. Oculus Quest controllers are used to conduct a display of vibrant colourful lights along a strip of LEDs.","BSr94sk","https://aubergene.com/jestled/","https://aubergene.com","aubergene","aubergene",""
"Agnes, Yuhyeon Jun","Light up the Balls","light-up-the-balls","Talk / Demo + Q&A","As an audiovisual(AV) interactive art, it engages the audience with their hand gesture to generate rhythmic visuals such as ‘lighting and dancing balls’ which produce mixing sounds with the beat as well. The Machine Learning helps them to participate as VJ Producer.","3tEhzJg","https://www.joyfulmediaartistagnes.com/work/light-up-the-balls","https://www.joyfulmediaartistagnes.com","joyfulmediaartist","",""
"Seyeon Park","Neo-4'33","neo-433","Performance","Sound is constant and everywhere. Sound is time-based medium. The layered sound create a timeline, but it is disappear and immateriality. Sound is also the atmosphere and space. Neo-4'33 is the sound art piece that adopted idea of experimental composer John Cage's art piece call 4'33.","GDKswxd","","https://www.seyeonpark.com","artseyeonpark","sparkartxx","seyeonpark.1985"
"Ernie Lafky","Jeff in a Jar - Prototype 1.0","jeff-in-a-jar-prototype-10","Performance","Jeff in a Jar imagines a dystopian future world where the space colonisation dreams of Jeff Bezos have come true. Though the inhabitants of Jeff’s space colony have long since perished, Jeff’s brain lives on, still thinking it’s in control of a vast galactic empire.","8GOkqIk","","","","",""
"Camila Colussi","WordsOfRebellion","wordsofrebellion","Video of the work + Q&A","Collection and transcription of protest posters that crossed the streets of Chile (2019-20). While being abroad, social networks has been my main access to those images. This proposal is an attempt to build a story mediated by the digital platform as a narrative, sensitive and knowledge source.","1lAVRpr","https://www.camilacolussi.com/wordsofrebellion","https://www.camilacolussi.com","camilacolussi","",""
"Katie Tindle","Drips","drips","Talk / Demo + Q&A","Drips is the product of a research project into biosensing (self tracking health data) as a practice, and reflective writing as a creative research technique.","7dZTLCr","http://doc.gold.ac.uk/compartsblog/index.php/work/motivation-menstrual-biosensing-as-identity-construction/","https://cargocollective.com/katietindle/Home","ktwindmill","",""
"Christina Karpodini","Detuned piano","detuned-piano","Video of the work + Q&A","Detuned piano is an audio&light interactive installation. It is aiming to reflect the impact of the misleading information we find on the Internet and the impact of them on the mental health of people.","fFqqtuP","https://ckarpodini.wixsite.com/christinakarpodini/detuned-piano","https://ckarpodini.wixsite.com/christinakarpodini","christikarp","",""
"Veera Jussila","A Magical AI Angle","a-magical-ai-angle","Talk / Demo + Q&A","A prototype for the sonic part of an interactive installation. The piece takes viewer to an insecure AI oracle that reads aloud predictions about its own future. The name comes from one of the phrases in AI predictions. Built with MaxMSP,  Arduino and a text generation RNN in Tensorflow.","UsXvov6","https://www.veerajussila.com/code-and-art/a-magical-ai-angle","https://www.veerajussila.com","veeraidaj","JussilaVeera","veera.jussila"
"Yuqian Sun","Digital fossil","digital-fossil","Talk / Demo + Q&A","Digital fossil is a research project about compressing human information in the future, including parts of genotypes and our personal traces on the internet.","KqDO9z5","https://fakecheese.cargo.site/Digital-fossil","https://fakecheese.cargo.site/","cheesetalk1997","",""
"Jakob Jennerholm Hammar","Weaving Drafts at the Edge of the Abyss","weaving-drafts-at-the-edge-of-the-abyss","Talk / Demo + Q&A","A series of experimental explorations into digital weaving drafts/notation. The project is founded on a series of vague questions about time, nature, relationality and pattern-making which are engaged with through the creation of generative and interactive digital and physical weaving drafts.","Z84HQD1","https://jennerholmhammar.info/project/weaving-drafts/","https://jennerholmhammar.info","knoegle","",""
"Alesandra Miro Quesada","Creating with Machine Learning","creating-with-machine-learning","Talk / Demo + Q&A","In this presentation I am going to talk about my approach to creative computing using different Neural Networks in Machine Learning. There are two pieces that I will be taking about, the first is a disobedient installation and the second a computational clone.","3b2bhSyh","http://doc.gold.ac.uk/compartsblog/index.php/work/congressional-scandal-generator/","https://www.bgrandpa.com/","bad.grandpa","",""
"Jude Marcella","The Snow Globe","the-snow-globe","Talk / Demo + Q&A","A diorama","ocbg23V","http://doc.gold.ac.uk/compartsblog/index.php/work/the-snow-globe-a-critical-reengagement-with-onscreen-life/","https://www.judemarcella.com/","meminine","",""
"Andrew Chang","I am my sex slave","i-am-my-sex-slave","Video of the work + Q&A","I am my sex slave is focusing on the process of produce a virtual body by different 3D scanning platforms and techniques, exploring the possibility of our identity development without the restriction of the physical body in the real-world.","odwTEFb","https://www.andrewtw.com/post-bs4ix/_______________i-am-my-sex-slave_______________","https://www.andrewtw.com/","chia_yang.tw","",""
"Clemence Debaig","Is It Getting Better?","is-it-getting-better","Talk / Demo + Q&A","This kinetic sculpture changes its shape depending on the latest COVID19 data in the UK. It automatically interrogates an online data source once per day. Its two states (better / worse) aims at simplifying the understanding of the data and go against the current information overload.","ktdTEc8","http://www.clemencedebaig.com/art-dance#/is-it-getting-better-kinetic-sculpture/","http://www.clemencedebaig.com/","demzou_art","clemencedebaig","demzouart"
"James Lawton","Public Opinion","public-opinion","?","An audio performance that has a socio-political bent to it about how we lose our own unique voice within the onslaught of pervasive media. It's strongly based off of media and public opinion literature. It takes its name from the highly influential and controversial 1922 book by Walter Lippmann.","SQZ4E59","https://jameslawton.net/public-opinion","https://jameslawton.net/","jameslawtonart","jameslawtonart","jameslawtonart"
"Andrew Chang","Stop Projecting Your Feelings Onto Others","stop-projecting-your-feelings-onto-others","Video of the work + Q&A","Stop projecting your feelings onto others is a computational interact projection and installation, reflecting the projection effect in Psychology.","jTOdsHh","https://www.andrewtw.com/post-bs4ix/stop-projecting-your-feelings-onto-others","https://www.andrewtw.com/","chia_yang.tw","",""
"Mattia Spagnuolo","#iorestoacasa","iorestoacasa","Video of the work + Q&A","#iorestoacasa is a virtual artefact that visualizes data relative to the COVID-19 pandemic in the form of a particle system. The most relevant data about the virus outbreak is mapped to variables that modify the shape and color of the system.","nZUXbtL","https://www.mattiaspagnuolo.com/works/iorestoacasa","https://www.mattiaspagnuolo.com/","mattia_spagnuolo","",""
"Callum Fowler","a human and a computer","a-human-and-a-computer","Performance","This performance is a human-computer collaboration. The human improvises on an electric guitar, whilst the computer generates a response using MaxMSP, resulting in a sound collage. The piece focuses on aspects of generative audio and human-computer interaction.","tNdbnMe","","","motivated_sloth","",""
"Oliver Schilke","Sumbios","sumbios","Video of the work + Q&A","Here Physarum Polycephalum explores its natural habitats using soundscapes and reactive visuals. The soundscape of the room also plays effect on these visuals exhibited, that alter our abstraction of the relationship between the biological worlds and the Anthropocene.","Pjb07aX","","","____scho","",""
"Chloe Karnezi","Cash Cow","cash-cow","Talk / Demo + Q&A","‘Cash Cow’ is an audiovisual performance piece aimed at raising awareness about the treatment of cattle and other non-human animals in the context of industrial animal farming. The audio used is the poem/song ‘The Revolution Will Not Be Televised’ by American poet and jazz musician Gil Scott-Heron.","v9Z9WaE","https://www.youtube.com/watch?v=Xg2t7Hz7AIM","","","",""
"Duncan Paterson","CrowMisoMoon","crowmisomoon","Video of the work + Q&A","During lockdown, I’m more aware of the world around me, specifically the omnipresent crows on Hackney Marshes. I’ve been recording ‘conversations’ with these creatures, who seem to be flourishing in the absence of people. I’ve combined the recordings with an interactive ‘terraforming’ visual in Max.","Y1G3FDg","https://vimeo.com/413660605","","brother_sjur","",""
