track,startTime,artist,title,module,form,notes
Sonic Art,14:00,intro,,,,
Sonic Art,14:08,Duncan Paterson,CrowMisoMoon,,Video of the work + Q&A,
Sonic Art,14:16,Ernie Lefky,Jeff in a Jar - Prototype 1.0,,performance,
Sonic Art,14:24,break,,,,
Sonic Art,14:30,Lou Terry ,Feral Robotic Birds,,video ,
Sonic Art,14:38,Yewen Jin,The Sound of Poetry,,video,
Sonic Art,14:46,Seyeon Park,Neo-4'33,,Performance,
Sonic Art,14:54,break,,,,
Sonic Art,15:00,James Lawton,Public Opinion,,Video of the work + Q&A,
Sonic Art,15:08,Julian Burgess,Sonicode,,Video,
Sonic Art,15:16,Kristine Hillquis,Everything Glitched,,talk demo,
Sonic Art,15:24,break,,,,
Sonic Art,15:30,Romain Biros,"Murmur, Swoosh, Retch",,video,
Sonic Art,15:38,Felix Lotus,"My Bitrot, Gutweed Breath",,talk/demo,
Sonic Art,15:46,Callum Fowler,a human and a computer,,performance,
Sonic Art,15:54,break,,,,
Sonic Art,16:00,Hazel Ryan,Boundary,,talk demo,
Sonic Art,16:08,Oliver Schilke,Reciprocal,,video,
Sonic Art,16:16,Chloe Karnezi,Cash Cow,,talk demo,
Sonic Art,16:24,Christina Karpodini,"""Οικολογία"" (ecologia)",,performance,
3D & VR,14:00,intro,,,,
3D & VR,14:08,break,,,,
3D & VR,14:30,Jingyi	Chen,The heart of the cosmos,,Video of the work + Q&A,
3D & VR,14:38,Chloe Karnezi,A Rose is a Rose is a Rose,,Talk / Demo + Q&A,
3D & VR,14:46,yanyi lu,replica,,Video of the work + Q&A,
3D & VR,14:54,break,,,,
3D & VR,15:00,Jude Marcella,The Snow Globe,,Talk / Demo + Q&A,
3D & VR,15:08,Jingyi Chen,CyKink,,Video of the work + Q&A,
3D & VR,15:16,Elisavet Koliniati,Inside Us - A VR experience,,Video of the work + Q&A,
3D & VR,15:24,break,,,,
3D & VR,15:30,Mattia Spagnuolo,#andratuttobene,,Video of the work + Q&A,
3D & VR,15:38,Yuhyeon	Jun	,Wave Scape in Lake,,Talk / Demo + Q&A,
3D & VR,15:46,Yishuai Zhang,Translucence,,Talk / Demo + Q&A,
3D & VR,15:54,break,,,,
3D & VR,16:00,Romain Biros,Work In Progress ,,Video of the work + Q&A,
3D & VR,16:08,Chia Yang Chang (Andrew),I am my sex slave,,Video of the work + Q&A,
3D & VR,16:16,Karen Okpoti ,Symbiosis,,Video of the work + Q&A,
Data visualization & Information Art,14:00,intro,,,,
Data visualization & Information Art,14:08,Keir	Clyne,_dampMap,,Talk / Demo + Q&A,
Data visualization & Information Art,14:16,yanyi lu,The Obscure: Mourning The Lost Art,generative,Video of the work + Q&A,
Data visualization & Information Art,14:24,break,,,,
Data visualization & Information Art,14:30,Anna Alfut,Data Characters,,Talk / Demo + Q&A,
Data visualization & Information Art,14:38,Gerolamo Gnecchi Ruscone,For The Tide!,Theory,Talk / Demo + Q&A,
Data visualization & Information Art,14:46,Mattia Spagnuolo,#iorestoacasa,,Video of the work + Q&A,
Data visualization & Information Art,14:54,break,,,,
Data visualization & Information Art,15:00,Katie Tindle,Drips,Theory,Talk / Demo + Q&A,
Data visualization & Information Art,15:08,Alesandra Miro Quesada,Creating with Machine Learning,machine learning,Talk / Demo + Q&A,
Data visualization & Information Art,15:16,Veera Jussila,Postcards from Lost Cities,machine learning,Talk / Demo + Q&A,
Data visualization & Information Art,15:24,break,,,,
Data visualization & Information Art,15:30,Camilla Colussi  ,WordsOfRebellion,,Video of the work + Q&A,
Data visualization & Information Art,15:38,Yasmine Boufiaf,Algerian Hand Gestures,,Video of the work + Q&A,
